"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","6","Millions",,,460379.033,,
"AUT","Austria","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","6","Millions",,,467364.772,,
"AUT","Austria","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","6","Millions",,,437201.197,,
"AUT","Austria","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","6","Millions",,,457123.804,,
"AUT","Austria","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2022","2022","USD","US Dollar","6","Millions",,,479966.017,,
"AUT","Austria","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,52092.588383,,
"AUT","Austria","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,52645.177089,,
"AUT","Austria","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,49030.929325,,
"AUT","Austria","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,51066.612598,,
"AUT","Austria","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2022","2022","USD","US Dollar","0","Units",,,53013.385613,,
"AUT","Austria","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2018","2018","PC","Percentage","0","Units","USA_100","USA=100",2.451468,,
"AUT","Austria","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2019","2019","PC","Percentage","0","Units","USA_100","USA=100",2.47963,,
"AUT","Austria","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2020","2020","PC","Percentage","0","Units","USA_100","USA=100",2.424295,,
"AUT","Austria","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2021","2021","PC","Percentage","0","Units","USA_100","USA=100",2.303293,,
"AUT","Austria","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2022","2022","PC","Percentage","0","Units","USA_100","USA=100",2.4454,,
"AUT","Austria","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2018","2018","PC","Percentage","0","Units","USA_100","USA=100",91.203305,,
"AUT","Austria","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2019","2019","PC","Percentage","0","Units","USA_100","USA=100",92.316217,,
"AUT","Austria","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2020","2020","PC","Percentage","0","Units","USA_100","USA=100",90.198553,,
"AUT","Austria","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2021","2021","PC","Percentage","0","Units","USA_100","USA=100",85.480879,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2018","2018","NATCUR","National currency","6","Millions",,,460050.8,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2019","2019","NATCUR","National currency","6","Millions",,,478645,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2020","2020","NATCUR","National currency","6","Millions",,,459826.3,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2021","2021","NATCUR","National currency","6","Millions",,,502311.6,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2022","2022","NATCUR","National currency","6","Millions",,,552446.4,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","C","National currency, current prices","2018","2018","NATCUR","National currency","0","Units",,,40259.980747,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","C","National currency, current prices","2019","2019","NATCUR","National currency","0","Units",,,41661.154147,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","C","National currency, current prices","2020","2020","NATCUR","National currency","0","Units",,,39832.49307,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","C","National currency, current prices","2021","2021","NATCUR","National currency","0","Units",,,43332.608696,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","C","National currency, current prices","2022","2022","NATCUR","National currency","0","Units",,,47245.907808,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2018","2018","USD","US Dollar","6","Millions",,,600269.926,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2019","2019","USD","US Dollar","6","Millions",,,641098.699,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2020","2020","USD","US Dollar","6","Millions",,,629659.269,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2021","2021","USD","US Dollar","6","Millions",,,681853.013,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2022","2022","USD","US Dollar","6","Millions",,,773801.715,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,52530.841516,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,55801.08791,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,54544.288721,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,58820.998361,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,66176.491491,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","6","Millions",,,545629.107,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","6","Millions",,,557855.882,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","6","Millions",,,527947.071,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","6","Millions",,,560330.637,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2022","2022","USD","US Dollar","6","Millions",,,577650.922,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,47749.112365,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,48555.651667,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,45733.460759,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,48337.701605,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2022","2022","USD","US Dollar","0","Units",,,49401.430086,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2018","2018","PC","Percentage","0","Units","USA_100","USA=100",2.923432,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2019","2019","PC","Percentage","0","Units","USA_100","USA=100",2.998454,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2020","2020","PC","Percentage","0","Units","USA_100","USA=100",2.989768,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2021","2021","PC","Percentage","0","Units","USA_100","USA=100",2.924515,,
"BEL","Belgium","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2022","2022","PC","Percentage","0","Units","USA_100","USA=100",3.038959,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2018","2018","PC","Percentage","0","Units","USA_100","USA=100",84.117161,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2019","2019","PC","Percentage","0","Units","USA_100","USA=100",86.258854,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2020","2020","PC","Percentage","0","Units","USA_100","USA=100",85.922415,,
"BEL","Belgium","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2021","2021","PC","Percentage","0","Units","USA_100","USA=100",83.813135,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2018","2018","NATCUR","National currency","6","Millions",,,2235675,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2019","2019","NATCUR","National currency","6","Millions",,,2313563,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2020","2020","NATCUR","National currency","6","Millions",,,2209681,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2021","2021","NATCUR","National currency","6","Millions",,,2509618,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2022","2022","NATCUR","National currency","6","Millions",,,2785119,,
"CAN","Canada","T_GDPPOP","GDP per head of population","C","National currency, current prices","2018","2018","NATCUR","National currency","0","Units",,,60317.548451,,
"CAN","Canada","T_GDPPOP","GDP per head of population","C","National currency, current prices","2019","2019","NATCUR","National currency","0","Units",,,61528.91807,,
"CAN","Canada","T_GDPPOP","GDP per head of population","C","National currency, current prices","2020","2020","NATCUR","National currency","0","Units",,,58138.536296,,
"CAN","Canada","T_GDPPOP","GDP per head of population","C","National currency, current prices","2021","2021","NATCUR","National currency","0","Units",,,65651.266302,,
"CAN","Canada","T_GDPPOP","GDP per head of population","C","National currency, current prices","2022","2022","NATCUR","National currency","0","Units",,,71541.895996,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2018","2018","USD","US Dollar","6","Millions",,,1852987.755,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2019","2019","USD","US Dollar","6","Millions",,,1873760.081,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2020","2020","USD","US Dollar","6","Millions",,,1794940.001,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2021","2021","USD","US Dollar","6","Millions",,,2026899.115,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2022","2022","USD","US Dollar","6","Millions",,,2221280.61,,
"CAN","Canada","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,49992.811429,,
"CAN","Canada","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,49832.414551,,
"CAN","Canada","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,47226.357287,,
"CAN","Canada","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,53023.40578,,
"CAN","Canada","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,57058.469091,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","6","Millions",,,1705881.639,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","6","Millions",,,1738092.499,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","6","Millions",,,1649895.471,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","6","Millions",,,1732584.947,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2022","2022","USD","US Dollar","6","Millions",,,1791427.035,,
"CAN","Canada","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,46023.951787,,
"CAN","Canada","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,46224.352209,,
"CAN","Canada","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,43410.115635,,
"CAN","Canada","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,45324.187086,,
"CAN","Canada","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2022","2022","USD","US Dollar","0","Units",,,46016.736312,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2018","2018","PC","Percentage","0","Units","USA_100","USA=100",9.024412,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2019","2019","PC","Percentage","0","Units","USA_100","USA=100",8.763679,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2020","2020","PC","Percentage","0","Units","USA_100","USA=100",8.52279,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2021","2021","PC","Percentage","0","Units","USA_100","USA=100",8.693511,,
"CAN","Canada","T_GDP","Gross Domestic Product (GDP); millions","PCTUS","As % of the USA (USA=100)","2022","2022","PC","Percentage","0","Units","USA_100","USA=100",8.723657,,
"CAN","Canada","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2018","2018","PC","Percentage","0","Units","USA_100","USA=100",80.053037,,
"CAN","Canada","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2019","2019","PC","Percentage","0","Units","USA_100","USA=100",77.032315,,
"CAN","Canada","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2020","2020","PC","Percentage","0","Units","USA_100","USA=100",74.394639,,
"CAN","Canada","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2021","2021","PC","Percentage","0","Units","USA_100","USA=100",75.552235,,
"CZE","Czech Republic","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2018","2018","NATCUR","National currency","6","Millions",,,5410761,,
"CZE","Czech Republic","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2019","2019","NATCUR","National currency","6","Millions",,,5791498,,
"CZE","Czech Republic","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2020","2020","NATCUR","National currency","6","Millions",,,5709131,,
"CZE","Czech Republic","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2021","2021","NATCUR","National currency","6","Millions",,,6108717,,
"CZE","Czech Republic","T_GDP","Gross Domestic Product (GDP); millions","C","National currency, current prices","2022","2022","NATCUR","National currency","6","Millions",,,6795101,,
"CZE","Czech Republic","T_GDPPOP","GDP per head of population","C","National currency, current prices","2018","2018","NATCUR","National currency","0","Units",,,509179.56454,,
"CZE","Czech Republic","T_GDPPOP","GDP per head of population","C","National currency, current prices","2019","2019","NATCUR","National currency","0","Units",,,542817.70804,,
"CZE","Czech Republic","T_GDPPOP","GDP per head of population","C","National currency, current prices","2020","2020","NATCUR","National currency","0","Units",,,533555.91578,,
"CZE","Czech Republic","T_GDPPOP","GDP per head of population","C","National currency, current prices","2021","2021","NATCUR","National currency","0","Units",,,571051.48077,,
"CZE","Czech Republic","T_GDPPOP","GDP per head of population","C","National currency, current prices","2022","2022","NATCUR","National currency","0","Units",,,635626.4499,,
"CZE","Czech Republic","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2018","2018","USD","US Dollar","6","Millions",,,437355.916,,
"CZE","Czech Republic","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2019","2019","USD","US Dollar","6","Millions",,,471832.671,,
"CZE","Czech Republic","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2020","2020","USD","US Dollar","6","Millions",,,458157.819,,
"CZE","Czech Republic","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2021","2021","USD","US Dollar","6","Millions",,,479378.76,,
"CZE","Czech Republic","T_GDP","Gross Domestic Product (GDP); millions","CPC","USD, current prices, current PPPs","2022","2022","USD","US Dollar","6","Millions",,,533088.781,,
"CZE","Czech Republic","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,41157.370443,,
"CZE","Czech Republic","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,44223.295778,,
"CZE","Czech Republic","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,42817.867498,,
"CZE","Czech Republic","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,44813.002591,,
"CZE","Czech Republic","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,49866.121099,,
"CZE","Czech Republic","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","6","Millions",,,397936.159,,
"CZE","Czech Republic","T_GDP","Gross Domestic Product (GDP); millions","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","6","Millions",,,409993.142,,
