,LOCATION,SUBJECT,MEASURE,2018,2019,2020,2021,2022
109,DEU,T_GDP,VPVOB,4122426.809,4165984.532,4011976.886,4117371.008,4190874.653
110,DEU,T_GDPPOP,C,40593.563795,41799.670249,40949.844278,43292.345786,46149.485643
111,DEU,T_GDPPOP,CPC,55195.722047,57397.473987,56482.377268,58799.012441,64101.466442
112,DEU,T_GDPPOP,PCTUS,88.38441,88.726592,88.975443,83.781808,
113,DEU,T_GDPPOP,VPVOB,49724.106928,50136.407784,48243.49017,49490.011635,50014.018343
114,DEU,T_POPTOT,PEHRS,82906.0,83093.0,83161.0,83196.0,83794.0
115,DNK,T_GDP,C,2253316.249,2310954.835,2323919.331,2504177.717,2791643.612
116,DNK,T_GDP,CPC,333035.355,348345.911,354736.865,380007.666,441729.033
117,DNK,T_GDP,PCTUS,1.621947,1.629233,1.684373,1.629879,1.734807
118,DNK,T_GDP,VPVOB,301804.658,306312.071,300202.347,314779.295,326191.821
119,DNK,T_GDPPOP,C,388905.11719,397276.05897,398613.95043,427772.07328,472679.24348
120,DNK,T_GDPPOP,CPC,57479.35019,59884.117414,60846.803602,64914.189614,74793.266678
121,DNK,T_GDPPOP,PCTUS,92.041163,92.570514,95.850627,92.495229,
122,DNK,T_GDPPOP,VPVOB,52089.171212,52658.083376,51492.683877,53771.659549,55230.582628
123,DNK,T_POPTOT,PEHRS,5794.0,5817.0,5830.0,5854.0,5906.0
124,EA19,T_GDP,C,11599255.358,11986272.832,11456917.739,12318505.137,13338549.692
125,EA19,T_GDP,CPC,16259659.385,17236467.348,16545535.12,17610961.754,19499796.552
126,EA19,T_GDP,PCTUS,79.187715,80.615905,78.562026,75.534637,76.581743
127,EA19,T_GDP,VPVOB,14824291.586,15058864.621,14141507.416,14896071.647,15411441.42
128,EA19,T_GDPPOP,CPC,47629.173366,50334.221875,48238.265757,51333.028282,56591.844916
129,EA19,T_GDPPOP,PCTUS,76.268164,77.808023,75.988676,73.143642,
130,EA19,T_GDPPOP,VPVOB,43424.572266,43975.149764,41229.358131,43419.574571,44726.718068
131,EA19,T_POPTOT,PEHRS,341380.25575,342440.326,342996.0605,343072.72225,344569.02017
132,ESP,T_GDP,C,1203859.0,1245513.0,1117989.0,1206842.0,1327108.0
133,ESP,T_GDP,CPC,1905450.021,2031924.567,1799328.046,1928019.184,2228929.044
134,ESP,T_GDP,PCTUS,9.279913,9.503423,8.543626,8.269408,8.753695
135,ESP,T_GDP,VPVOB,1760131.709,1795052.128,1591754.606,1679613.014,1771623.42
136,ESP,T_GDPPOP,C,25762.669688,26441.004864,23608.337626,25497.625315,27871.617187
137,ESP,T_GDPPOP,CPC,40776.768291,43135.741947,37996.030382,40734.338674,46811.455474
138,ESP,T_GDPPOP,PCTUS,65.29547,66.680415,59.854308,58.041732,
139,ESP,T_GDPPOP,VPVOB,37666.945902,38107.175154,33612.745883,35486.122712,37207.227868
140,ESP,T_POPTOT,PEHRS,46728.814,47105.358,47355.685,47331.545,47615.034
141,EST,T_GDP,C,25932.176,27764.725,27464.982,31444.913,36181.437
142,EST,T_GDP,CPC,48133.366,51758.554,52438.777,57864.708,63555.067
143,EST,T_GDP,PCTUS,0.234419,0.242078,0.248991,0.248186,0.2496
144,EST,T_GDP,VPVOB,43467.226,45092.772,44844.31,48437.894,47814.299
145,EST,T_GDPPOP,C,19658.499939,20957.356471,20667.626867,23641.582987,27167.401764
146,EST,T_GDPPOP,CPC,36488.637613,39068.367023,39460.614844,43505.074928,47721.322935
147,EST,T_GDPPOP,PCTUS,58.428925,60.392955,62.161436,61.989712,
148,EST,T_GDPPOP,VPVOB,32951.359719,34036.904636,33745.715406,36417.60722,35902.119394
149,EST,T_POPTOT,PEHRS,1319.133,1324.82,1328.889,1330.068,1331.796
150,,T_GDP,C,13533330.168,14018694.304,13461563.371,14530920.952,15810106.327
151,,T_GDP,CPC,19958436.656,21247314.045,20548660.17,21912110.491,24379357.922
152,,T_GDP,PCTUS,97.201482,99.374856,97.56979,93.982562,95.745292
153,,T_GDP,VPVOB,18187455.861,18516210.926,17470126.45,18417395.872,19065230.807
154,,T_GDPPOP,CPC,44673.311381,47448.235819,45843.543523,48924.776133,54305.164215
155,,T_GDPPOP,PCTUS,71.534969,73.346786,72.216323,69.71216,
156,,T_GDPPOP,VPVOB,40709.294666,41349.299052,38975.412296,41121.8705,42467.914581
157,,T_POPTOT,PEHRS,446764.20975,447799.8745,448234.5515,447873.49525,448932.58817
158,FIN,T_GDP,C,233462.0,239858.0,238038.0,250594.0,266679.0
159,FIN,T_GDP,CPC,273455.993,286082.927,289224.32,303129.453,332318.393
160,FIN,T_GDP,PCTUS,1.331784,1.338026,1.373304,1.300143,1.305117
161,FIN,T_GDP,VPVOB,249873.431,252933.753,246977.251,254501.369,259804.606
162,FIN,T_GDPPOP,C,42322.975962,43439.944943,43039.398268,45221.329965,47994.924771
163,FIN,T_GDPPOP,CPC,49573.255683,51811.599355,52294.342488,54701.696833,59808.219891
164,FIN,T_GDPPOP,PCTUS,79.381206,80.091793,82.378124,77.943606,
165,FIN,T_GDPPOP,VPVOB,45298.109387,45808.054368,44655.694758,45926.440314,46757.721906
166,FIN,T_POPTOT,PEHRS,5516.2,5521.6,5530.7,5541.5,5556.4
167,FRA,T_GDP,C,2363306.0,2437635.0,2310469.0,2500870.0,2642713.0
168,FRA,T_GDP,CPC,3125379.86,3403158.941,3252531.255,3479874.481,3814783.882
169,FRA,T_GDP,PCTUS,15.22121,15.916761,15.44377,14.925423,14.981838
170,FRA,T_GDP,VPVOB,2863681.468,2916458.311,2689424.091,2872751.081,2946362.27
171,FRA,T_GDPPOP,C,35038.414209,35973.480712,33975.486736,36660.509844,38585.384728
172,FRA,T_GDPPOP,CPC,46336.93398,50222.23283,47828.528542,51011.836947,55698.406804
173,FRA,T_GDPPOP,PCTUS,74.198913,77.634907,75.343226,72.685981,
174,FRA,T_GDPPOP,VPVOB,42456.989251,43039.73187,39548.027925,42111.952754,43018.86801
175,FRA,T_POPTOT,PEHRS,67449.0,67762.0,68004.0,68217.0,68490.0
176,,T_GDP,CPC,41168942.318,42809976.835,41709736.613,45212927.776,49546200.61
177,,T_GDP,PCTUS,200.500784,200.224615,198.047473,193.921384,194.583281
178,,T_GDP,VPVOB,38816860.834,39429466.46,37639108.063,39623718.74,40506880.75
179,,T_GDPPOP,CPC,53537.754546,55477.610761,53946.993542,58426.811547,
180,,T_GDPPOP,PCTUS,85.729522,85.758815,84.981509,83.251464,
181,,T_GDPPOP,VPVOB,50479.012833,51096.794591,48682.079641,51204.106027,
182,,T_POPTOT,PEHRS,768970.284,771662.23,773161.466,773838.698,
183,GBR,T_GDP,C,2157410.0,2238348.0,2109594.0,2270246.0,2482127.0
184,GBR,T_GDP,CPC,3137072.362,3294277.295,3077151.591,3355086.227,3740423.339
185,GBR,T_GDP,PCTUS,15.278155,15.407516,14.611027,14.390198,14.689801
186,GBR,T_GDP,VPVOB,2952604.145,2999973.029,2669050.25,2871830.568,2988008.509
187,GBR,T_GDPPOP,C,32473.508339,33509.70852,31448.457835,33707.680658,36614.403092
188,GBR,T_GDPPOP,CPC,47219.464778,49317.743237,45872.178277,49814.943015,55175.810049
189,GBR,T_GDPPOP,PCTUS,75.612102,76.236722,72.26143,70.980545,
190,GBR,T_GDPPOP,VPVOB,44442.834382,44911.79288,39788.468419,42639.76137,44076.772861
191,GBR,T_POPTOT,PEHRS,66436.0,66797.0,67081.0,67351.0,67791.0
192,GRC,T_GDP,C,179557.686,183351.227,165405.918,181674.606,208030.156
193,GRC,T_GDP,CPC,317881.481,334040.54,304016.729,333014.632,393631.536
194,GRC,T_GDP,PCTUS,1.548145,1.562326,1.443542,1.428323,1.545913
195,GRC,T_GDP,VPVOB,296167.259,301748.048,274578.507,297737.633,315345.035
196,GRC,T_GDPPOP,C,16729.672641,17101.161062,15460.534332,17074.024692,19666.273524
197,GRC,T_GDPPOP,CPC,29617.51866,31155.946809,28416.523018,31297.164611,37212.227321
198,GRC,T_GDPPOP,PCTUS,47.426265,48.161718,44.763922,44.594848,
199,GRC,T_GDPPOP,VPVOB,27594.370368,28144.027468,25664.924724,27981.784629,29811.359238
200,GRC,T_POPTOT,PEHRS,10732.887,10721.566,10698.59,10640.409,10578.016
201,HUN,T_GDP,C,43386710.0,47674187.0,48425421.0,55255130.0,66615877.0
202,HUN,T_GDP,CPC,311925.167,338460.936,333066.376,356227.581,411726.009
203,HUN,T_GDP,PCTUS,1.519136,1.583,1.581476,1.527885,1.616976
204,HUN,T_GDP,VPVOB,296178.193,310565.915,296443.663,317542.494,332065.24
205,HUN,T_GDPPOP,C,4438282.0265,4879080.8566,4966633.9458,5690602.5001,6879337.2997
206,HUN,T_GDPPOP,CPC,31908.661945,34638.834503,34160.131912,36687.083408,42518.423813
207,HUN,T_GDPPOP,PCTUS,51.095052,53.545662,53.811702,52.27486,
208,HUN,T_GDPPOP,VPVOB,30297.811257,31783.996874,30404.013621,32702.992649,34291.957028
209,HUN,T_POPTOT,PEHRS,9775.564,9771.141,9750.149,9709.891,9683.473
210,,T_GDP,C,14838756000.0,15832657200.0,15443353200.0,16976690800.0,19588445600.0
211,,T_GDP,CPC,3116594.552,3331570.511,3303238.766,3567505.282,3969883.308
212,,T_GDP,PCTUS,15.178424,15.581938,15.684541,15.301278,15.590962
213,,T_GDP,VPVOB,3073147.098,3227397.191,3160734.921,3277778.684,3451782.68
214,,T_GDPPOP,C,55992072.911,59060639.091,56972583.839,62357220.045,
215,,T_GDPPOP,CPC,11760.055182,12427.773877,12186.087121,13103.832455,
216,,T_GDPPOP,PCTUS,18.83127,19.211194,19.196474,18.671449,
217,,T_GDPPOP,VPVOB,11596.111991,12039.175629,11660.371485,12039.635349,
218,,T_POPTOT,PEHRS,265015.3,268074.6,271066.4,272249.0,
219,IND,T_GDP,C,186830700.0,197561400.0,192205900.0,227242900.0,265593100.0
220,IND,T_GDP,CPC,8918222.4,9374997.1,8741197.4,9788502.2,11039016.9
221,IND,T_GDP,PCTUS,43.433484,43.847377,41.505226,41.983565,43.35364
222,IND,T_GDP,VPVOB,8637025.4,9033694.0,8490639.8,9249179.7,9869523.1
223,IND,T_GDPPOP,C,140791.78598,147323.93736,141967.67362,166514.02104,
224,IND,T_GDPPOP,CPC,6720.589601,6991.049292,6456.448317,7172.601922,
225,IND,T_GDPPOP,PCTUS,10.761619,10.806956,10.170701,10.22013,
226,IND,T_GDPPOP,VPVOB,6508.685305,6736.535421,6271.380743,6777.409121,
227,IND,T_POPTOT,PEHRS,1327000.0,1341000.0,1353870.8856,1364707.2996,
228,IRL,T_GDP,C,326631.278,356704.596,372836.398,426283.436,502583.5
229,IRL,T_GDP,CPC,412301.576,442690.205,468339.713,536386.735,656439.507
230,IRL,T_GDP,PCTUS,2.007989,2.070486,2.223785,2.3006,2.578041
231,IRL,T_GDP,VPVOB,391936.202,413261.199,438819.492,498447.367,558109.426
232,IRL,T_GDPPOP,C,67199.06671,72395.386969,74861.845992,84940.233865,98262.364826
